Time (s),Current (nA)
17:05:57.605,0.0074
17:05:57.606,0.0079
17:05:57.610,0.0043
17:05:57.610,0.013
17:05:57.626,0.0187
17:05:57.634,0.016
17:05:57.638,0.0029
17:05:57.641,-0.0115
17:05:57.642,0.0116
17:05:57.646,0.0334
17:05:57.646,0.0338
17:05:57.646,0.0011
17:05:57.651,0.0027
17:05:57.653,0.002
17:05:57.655,0.0569
17:05:57.658,0.0075
17:05:57.658,0.0082
17:05:57.666,0.0029
17:05:57.676,0.0188
17:05:57.678,0.0213
17:05:57.686,0.0023
17:05:57.688,-0.0324
17:05:57.691,0.0196
17:05:57.693,-0.0368
17:05:57.696,-0.0197
17:05:57.697,-0.0074
17:05:57.697,0.0085
17:05:57.701,0.0066
17:05:57.703,-0.0022
17:05:57.705,0.0058
17:05:57.707,-0.0549
17:05:57.708,0.0157
17:05:57.710,0.0077
17:05:57.721,0.0116
17:05:57.731,0.0387
17:05:57.736,-0.022
17:05:57.737,0.0255
17:05:57.741,0.0112
17:05:57.743,0.0078
17:05:57.745,-0.0115
17:05:57.745,0.0261
17:05:57.748,0.0389
17:05:57.750,-0.0153
17:05:57.753,0.0209
17:05:57.754,0.0103
17:05:57.757,0.017
17:05:57.763,-0.0111
17:05:57.769,0.0027
17:05:57.769,0.0111
17:05:57.782,0.021
17:05:57.785,0.0278
17:05:57.788,-0.001
17:05:57.790,0.0133
17:05:57.792,0.0167
17:05:57.795,-0.0006
17:05:57.795,-0.0036
17:05:57.798,0.0267
17:05:57.801,0.0123
17:05:57.802,0.0032
17:05:57.804,0.0038
17:05:57.804,-0.005
17:05:57.807,0.035
17:05:57.809,0.0033
17:05:57.818,-0.0019
17:05:57.818,0.0472
17:05:57.833,0.0114
17:05:57.833,0.0354
17:05:57.838,0.0406
17:05:57.840,0.0376
17:05:57.840,0.0274
17:05:57.843,0.0308
17:05:57.845,-0.0055
17:05:57.848,0.0113
17:05:57.850,0.0335
17:05:57.851,-0.0242
17:05:57.853,0.0094
17:05:57.855,0.0068
17:05:57.856,-0.0032
17:05:57.858,0.0206
17:05:57.866,0.0075
17:05:57.866,0.0207
17:05:57.882,-0.0025
17:05:57.885,-0.0013
17:05:57.888,0.0012
17:05:57.888,0.0125
17:05:57.891,-0.0311
17:05:57.893,0.002
17:05:57.897,0.0126
17:05:57.898,0.0287
17:05:57.899,0.0222
17:05:57.899,0.008
17:05:57.902,-0.0027
17:05:57.904,0.0258
17:05:57.906,-0.0028
17:05:57.915,-0.0015
17:05:57.926,-0.0129
17:05:57.930,0.0206
17:05:57.932,-0.0007
17:05:57.935,0.0216
17:05:57.935,0.0049
17:05:57.940,-0.0047
17:05:57.941,0.0143
17:05:57.945,-0.0031
17:05:57.945,0.0335
17:05:57.948,-0.0009
17:05:57.948,-0.0127
17:05:57.951,-0.0111
17:05:57.953,0.0104
17:05:57.955,0.0053
17:05:57.956,-0.0056
17:05:57.965,0.0101
17:05:57.965,-0.0065
17:05:57.976,0.0163
17:05:57.983,0.0191
17:05:57.985,0.0131
17:05:57.988,-0.0165
17:05:57.988,0.0023
17:05:57.992,0.0243
17:05:57.992,-0.0035
17:05:57.995,-0.008
17:05:57.995,0.0326
17:05:57.998,0.0416
17:05:58.002,0.0028
17:05:58.008,0.0399
17:05:58.008,0.0038
17:05:58.024,-0.0066
17:05:58.028,0.0073
17:05:58.030,0.0186
17:05:58.034,0.0207
17:05:58.034,0.0129
17:05:58.039,-0.0007
17:05:58.040,0.0368
17:05:58.042,0.0151
17:05:58.042,0.0245
17:05:58.045,0.0058
17:05:58.048,0.0233
17:05:58.048,-0.0006
17:05:58.058,0.0159
17:05:58.058,-0.0082
17:05:58.071,0.0291
17:05:58.077,0.0132
17:05:58.081,-0.016
17:05:58.083,0.0248
17:05:58.085,0.0229
17:05:58.088,-0.0041
17:05:58.088,0.0011
17:05:58.090,0.0176
17:05:58.090,0.0244
17:05:58.095,0.0171
17:05:58.095,0.0094
17:05:58.097,0.0282
17:05:58.099,0.001
17:05:58.102,-0.0026
17:05:58.118,-0.0324
17:05:58.118,0.0046
17:05:58.127,0.0247
17:05:58.129,-0.0165
17:05:58.131,-0.0202
17:05:58.131,-0.0125
17:05:58.136,0.0044
17:05:58.136,0.0152
17:05:58.138,0.0175
17:05:58.140,0.0004
17:05:58.142,-0.0091
17:05:58.152,0.0142
17:05:58.152,-0.0164
17:05:58.166,0.0047
17:05:58.169,0.0147
17:05:58.173,0.0048
17:05:58.174,-0.0148
17:05:58.176,0.0231
17:05:58.176,-0.0018
17:05:58.182,0.0247
17:05:58.182,0.0221
17:05:58.182,0.0245
17:05:58.186,-0.0089
17:05:58.188,0.0273
17:05:58.194,0.0209
17:05:58.198,0.0428
17:05:58.198,0.0142
17:05:58.215,0.0217
17:05:58.217,0.004
17:05:58.220,0.006
17:05:58.223,-0.0142
17:05:58.225,0.0169
17:05:58.227,0.0062
17:05:58.227,0.0331
17:05:58.232,0.0215
17:05:58.233,-0.011
17:05:58.235,0.0017
17:05:58.237,0.042
17:05:58.239,0.01
17:05:58.483,0.009
17:05:58.483,-0.0227
17:05:58.483,-0.0035
17:05:58.491,0.0131
17:05:58.499,0.0175
17:05:58.508,0.0085
17:05:58.515,0.0029
17:05:58.515,0.0109
17:05:58.515,0.0126
17:05:58.522,-0.0165
17:05:58.522,0.0205
17:05:58.528,0.0251
17:05:58.530,0.0224
17:05:58.530,0.002
17:05:58.534,-0.0213
17:05:58.536,0.0078
17:05:58.538,0.0203
17:05:58.540,0.0123
17:05:58.540,0.0058
17:05:58.544,0.0095
17:05:58.551,0.0201
17:05:58.561,0.0332
17:05:58.561,0.0202
17:05:58.571,0.0053
17:05:58.574,0.0231
17:05:58.576,0.0045
17:05:58.577,-0.0015
17:05:58.580,0.0248
17:05:58.580,-0.0017
17:05:58.582,-0.0144
17:05:58.585,0.0086
17:05:58.585,0.0151
17:05:58.588,-0.0027
17:05:58.596,-0.0058
17:05:58.604,-0.0252
17:05:58.607,-0.0025
17:05:58.612,-0.0099
17:05:58.612,0.0248
17:05:58.612,0.0093
17:05:58.623,0.0058
17:05:58.625,0.0014
17:05:58.628,0.0226
17:05:58.628,0.0104
17:05:58.632,0.0163
17:05:58.632,0.0191
17:05:58.635,0.023
17:05:58.641,0.0267
17:05:58.641,-0.0047
17:05:58.658,0.0331
17:05:58.658,0.0102
17:05:58.662,0.0324
17:05:58.662,0.0119
17:05:58.662,0.0074
17:05:58.670,0.0002
17:05:58.672,0.003
17:05:58.674,-0.0047
17:05:58.676,0.0026
17:05:58.678,-0.0245
17:05:58.678,0.0083
17:05:58.680,-0.0176
17:05:58.688,-0.0088
17:05:58.694,0.0071
17:05:58.702,0.0059
17:05:58.707,0.0411
17:05:58.710,-0.0202
17:05:58.712,0.0121
17:05:58.716,-0.0188
17:05:58.716,0.0268
17:05:58.718,0.0132
17:05:58.721,-0.0156
17:05:58.721,0.0063
17:05:58.724,0.0205
17:05:58.724,0.0054
17:05:58.728,-0.0027
17:05:58.728,0.0113
17:05:58.732,0.0198
17:05:58.734,0.0154
17:05:58.734,0.0062
