Time (s),Current (nA)
15:50:33.731,-0.035
15:50:33.745,-0.035
15:50:33.745,-0.031
15:50:33.761,-0.031
15:50:33.761,-0.026
15:50:33.809,-0.025
15:50:33.809,-0.02
15:50:33.809,-0.017
15:50:33.824,-0.017
15:50:33.824,-0.014
15:50:33.840,-0.014
15:50:33.840,-0.011
15:50:33.856,-0.011
15:50:33.856,-0.006
15:50:33.871,-0.006
15:50:33.918,-0.009
15:50:33.918,-0.004
15:50:33.918,-0.003
15:50:33.931,-0.006
15:50:33.934,-0.005
15:50:33.951,0.006
15:50:33.982,0.006
15:50:33.982,0.01
15:50:33.997,0.01
15:50:33.997,0.012
15:50:34.045,0.019
15:50:34.045,0.024
15:50:34.057,0.031
15:50:34.061,0.038
15:50:34.077,0.038
15:50:34.077,0.041
15:50:34.093,0.041
15:50:34.093,0.045
15:50:34.109,0.045
15:50:34.109,0.047
15:50:34.173,0.048
15:50:34.173,0.048
15:50:34.173,0.048
15:50:34.188,0.047
15:50:34.189,0.047
15:50:34.203,0.047
15:50:34.206,0.048
15:50:34.219,0.048
15:50:34.219,0.049
15:50:34.236,0.051
15:50:34.298,0.054
15:50:34.298,0.058
15:50:34.298,0.063
15:50:34.314,0.063
15:50:34.314,0.067
15:50:34.330,0.067
15:50:34.330,0.079
15:50:34.346,0.079
15:50:34.346,0.093
15:50:34.361,0.093
15:50:34.408,0.097
15:50:34.408,0.089
15:50:34.408,0.092
15:50:34.408,0.105
15:50:34.424,0.105
15:50:34.424,0.116
15:50:34.439,0.116
15:50:34.439,0.124
15:50:34.455,0.124
15:50:34.455,0.126
15:50:34.518,0.12
15:50:34.518,0.117
15:50:34.518,0.121
15:50:34.534,0.121
15:50:34.534,0.124
15:50:34.549,0.124
15:50:34.549,0.125
15:50:34.565,0.125
15:50:34.565,0.122
15:50:34.581,0.122
15:50:34.627,0.118
15:50:34.627,0.113
15:50:34.627,0.113
15:50:34.643,0.111
15:50:34.643,0.112
15:50:34.659,0.112
15:50:34.659,0.114
15:50:34.674,0.114
15:50:34.674,0.115
15:50:34.690,0.119
15:50:34.769,0.122
15:50:34.769,0.132
15:50:34.769,0.136
15:50:34.769,0.127
15:50:34.784,0.127
15:50:34.785,0.118
15:50:34.800,0.118
15:50:34.800,0.129
15:50:34.816,0.129
15:50:34.816,0.137
15:50:34.863,0.142
15:50:34.878,0.141
15:50:34.878,0.136
15:50:34.878,0.134
15:50:34.894,0.134
15:50:34.894,0.131
15:50:34.910,0.131
15:50:34.910,0.129
15:50:34.925,0.129
15:50:34.925,0.127
15:50:34.988,0.123
15:50:34.988,0.119
15:50:34.988,0.114
15:50:35.004,0.114
15:50:35.004,0.112
15:50:35.019,0.112
15:50:35.019,0.109
15:50:35.035,0.109
15:50:35.035,0.106
15:50:35.051,0.106
15:50:35.098,0.104
15:50:35.098,0.104
15:50:35.098,0.101
15:50:35.098,0.103
15:50:35.113,0.103
15:50:35.113,0.106
15:50:35.129,0.106
15:50:35.144,0.099
15:50:35.160,0.091
15:50:35.160,0.089
15:50:35.240,0.085
15:50:35.240,0.08
15:50:35.240,0.07
15:50:35.255,0.063
15:50:35.256,0.056
15:50:35.270,0.056
15:50:35.270,0.053
15:50:35.286,0.053
15:50:35.288,0.052
15:50:35.302,0.052
15:50:35.349,0.051
15:50:35.349,0.051
15:50:35.349,0.05
15:50:35.349,0.048
15:50:35.365,0.048
15:50:35.365,0.051
15:50:35.381,0.051
15:50:35.381,0.05
15:50:35.396,0.05
15:50:35.396,0.048
15:50:35.459,0.049
15:50:35.459,0.046
15:50:35.459,0.041
15:50:35.474,0.041
15:50:35.474,0.039
15:50:35.491,0.039
15:50:35.491,0.033
15:50:35.506,0.033
15:50:35.506,0.028
15:50:35.522,0.028
15:50:35.568,0.016
15:50:35.568,0.001
15:50:35.584,0.002
15:50:35.585,0.011
15:50:35.585,0.006
15:50:35.600,0.006
15:50:35.600,-0.011
15:50:35.616,-0.011
15:50:35.616,-0.021
15:50:35.631,-0.021
15:50:35.678,-0.027
15:50:35.678,-0.024
15:50:35.695,-0.02
15:50:35.695,-0.019
15:50:35.710,-0.019
15:50:35.710,-0.024
15:50:35.725,-0.024
15:50:35.728,-0.026
15:50:35.741,-0.026
15:50:35.741,-0.028
15:50:35.789,-0.025
15:50:35.789,-0.022
15:50:35.789,-0.017
15:50:35.804,-0.017
15:50:35.804,-0.014
15:50:35.820,-0.014
15:50:35.822,-0.015
15:50:35.836,-0.015
15:50:35.836,-0.016
15:50:35.852,-0.016
15:50:35.900,-0.014
15:50:35.900,-0.018
15:50:35.900,-0.019
15:50:35.900,-0.025
15:50:35.915,-0.025
15:50:35.915,-0.034
15:50:35.931,-0.034
15:50:35.931,-0.037
15:50:35.963,-0.037
15:50:35.963,-0.026
15:50:36.026,-0.021
15:50:36.028,-0.029
15:50:36.028,-0.039
15:50:36.029,-0.045
15:50:36.042,-0.045
15:50:36.042,-0.044
15:50:36.058,-0.044
15:50:36.058,-0.041
15:50:36.074,-0.041
15:50:36.076,-0.039
15:50:36.138,-0.035
15:50:36.142,-0.034
15:50:36.144,-0.031
15:50:36.145,-0.025
15:50:36.154,-0.021
15:50:36.170,-0.021
15:50:36.172,-0.017
15:50:36.186,-0.017
15:50:36.188,-0.015
15:50:36.202,-0.015
15:50:36.249,-0.01
15:50:36.249,-0.009
15:50:36.264,-0.007
15:50:36.264,-0.004
15:50:36.280,-0.004
15:50:36.281,-0.005
15:50:36.296,-0.005
15:50:36.298,-0.004
15:50:36.312,-0.004
15:50:36.312,-0.006
15:50:36.375,-0.003
15:50:36.375,0.007
15:50:36.375,0.014
15:50:36.380,0.014
15:50:36.390,0.014
15:50:36.390,0.02
15:50:36.406,0.02
15:50:36.406,0.026
15:50:36.422,0.026
15:50:36.422,0.036
15:50:36.484,0.041
15:50:36.499,0.042
15:50:36.499,0.044
15:50:36.501,0.045
15:50:36.516,0.045
15:50:36.518,0.047
15:50:36.532,0.047
15:50:36.532,0.048
15:50:36.548,0.048
15:50:36.548,0.049
15:50:36.595,0.048
15:50:36.595,0.047
15:50:36.595,0.047
15:50:36.611,0.047
15:50:36.613,0.048
15:50:36.628,0.05
15:50:36.643,0.05
15:50:36.647,0.055
15:50:36.659,0.055
15:50:36.659,0.059
15:50:36.738,0.064
15:50:36.738,0.067
15:50:36.743,0.083
15:50:36.745,0.094
15:50:36.746,0.096
15:50:36.753,0.088
15:50:36.785,0.088
15:50:36.785,0.088
15:50:36.800,0.088
15:50:36.801,0.106
15:50:36.848,0.116
15:50:36.848,0.122
15:50:36.848,0.126
15:50:36.864,0.126
15:50:36.864,0.122
15:50:36.879,0.122
15:50:36.879,0.118
15:50:36.895,0.118
15:50:36.895,0.121
15:50:36.910,0.121
15:50:36.958,0.124
15:50:36.958,0.125
15:50:36.958,0.123
15:50:36.958,0.12
15:50:36.973,0.12
15:50:36.975,0.114
15:50:36.989,0.114
15:50:36.989,0.11
15:50:37.021,0.111
15:50:37.036,0.111
15:50:37.083,0.112
15:50:37.083,0.112
15:50:37.083,0.114
15:50:37.098,0.116
15:50:37.102,0.119
15:50:37.115,0.119
15:50:37.117,0.125
15:50:37.132,0.125
15:50:37.132,0.135
15:50:37.147,0.135
15:50:37.211,0.136
15:50:37.211,0.124
15:50:37.211,0.119
15:50:37.211,0.127
15:50:37.211,0.137
15:50:37.225,0.137
15:50:37.225,0.14
15:50:37.241,0.14
15:50:37.241,0.141
15:50:37.257,0.141
15:50:37.304,0.139
15:50:37.304,0.135
15:50:37.304,0.132
15:50:37.320,0.129
15:50:37.336,0.129
15:50:37.336,0.128
15:50:37.351,0.128
15:50:37.351,0.125
15:50:37.368,0.125
15:50:37.368,0.118
15:50:37.431,0.116
15:50:37.431,0.113
15:50:37.431,0.109
15:50:37.431,0.107
15:50:37.447,0.107
15:50:37.447,0.105
15:50:37.463,0.105
15:50:37.463,0.102
15:50:37.478,0.102
15:50:37.478,0.102
15:50:37.541,0.102
15:50:37.541,0.105
15:50:37.541,0.101
15:50:37.557,0.093
15:50:37.573,0.093
15:50:37.573,0.088
15:50:37.589,0.088
15:50:37.589,0.087
15:50:37.605,0.087
15:50:37.608,0.08
15:50:37.668,0.074
15:50:37.668,0.065
15:50:37.668,0.058
15:50:37.676,0.054
15:50:37.684,0.054
15:50:37.699,0.054
15:50:37.699,0.053
15:50:37.715,0.053
15:50:37.715,0.051
15:50:37.731,0.051
15:50:37.793,0.049
15:50:37.793,0.05
15:50:37.793,0.05
15:50:37.793,0.051
15:50:37.809,0.05
15:50:37.825,0.05
15:50:37.825,0.05
15:50:37.841,0.05
15:50:37.844,0.06
15:50:37.858,0.06
15:50:37.905,0.044
